                                                                                                                                                                                                                                                     
{'loss': 1.5303, 'grad_norm': 11.621227264404297, 'learning_rate': 2e-05, 'num_tokens': 5131.0, 'mean_token_accuracy': 0.6745900064706802, 'epoch': 0.0}
{'loss': 1.2466, 'grad_norm': 4.800720691680908, 'learning_rate': 1.9973737373737377e-05, 'num_tokens': 69788.0, 'mean_token_accuracy': 0.6665169447660446, 'epoch': 0.01}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.9971717171717174e-05, 'num_tokens': 72598.0, 'mean_token_accuracy': 0.0, 'epoch': 0.01}
{'loss': 1.4022, 'grad_norm': 5.367924213409424, 'learning_rate': 1.996969696969697e-05, 'num_tokens': 77624.0, 'mean_token_accuracy': 0.32360556721687317, 'epoch': 0.01}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.9967676767676768e-05, 'num_tokens': 80671.0, 'mean_token_accuracy': 0.0, 'epoch': 0.01}
{'loss': 1.5874, 'grad_norm': 5.294388771057129, 'learning_rate': 1.9965656565656568e-05, 'num_tokens': 85634.0, 'mean_token_accuracy': 0.2870182394981384, 'epoch': 0.01}
{'loss': 1.0437, 'grad_norm': 4.54655647277832, 'learning_rate': 1.9963636363636365e-05, 'num_tokens': 90931.0, 'mean_token_accuracy': 0.18575419485569, 'epoch': 0.01}
{'loss': 1.4015, 'grad_norm': 12.7423734664917, 'learning_rate': 1.9961616161616166e-05, 'num_tokens': 95472.0, 'mean_token_accuracy': 0.32132768630981445, 'epoch': 0.01}
{'loss': 1.5968, 'grad_norm': 5.710586071014404, 'learning_rate': 1.995959595959596e-05, 'num_tokens': 98757.0, 'mean_token_accuracy': 0.2977272719144821, 'epoch': 0.01}
{'loss': 1.5184, 'grad_norm': 5.842243671417236, 'learning_rate': 1.995757575757576e-05, 'num_tokens': 108525.0, 'mean_token_accuracy': 0.4703458845615387, 'epoch': 0.01}
{'loss': 1.2688, 'grad_norm': 8.013668060302734, 'learning_rate': 1.9955555555555557e-05, 'num_tokens': 112364.0, 'mean_token_accuracy': 0.32601019740104675, 'epoch': 0.01}
{'loss': 1.1537, 'grad_norm': 3.8004703521728516, 'learning_rate': 1.9953535353535357e-05, 'num_tokens': 122416.0, 'mean_token_accuracy': 0.51737380027771, 'epoch': 0.01}
{'loss': 1.4647, 'grad_norm': 10.206998825073242, 'learning_rate': 1.9951515151515154e-05, 'num_tokens': 125122.0, 'mean_token_accuracy': 0.31177835166454315, 'epoch': 0.01}
{'loss': 0.8928, 'grad_norm': 7.360323429107666, 'learning_rate': 1.994949494949495e-05, 'num_tokens': 129082.0, 'mean_token_accuracy': 0.18886612355709076, 'epoch': 0.01}
{'loss': 1.2099, 'grad_norm': 6.333584308624268, 'learning_rate': 1.994747474747475e-05, 'num_tokens': 132189.0, 'mean_token_accuracy': 0.3279787749052048, 'epoch': 0.01}
{'loss': 1.0694, 'grad_norm': 5.0594940185546875, 'learning_rate': 1.994545454545455e-05, 'num_tokens': 139488.0, 'mean_token_accuracy': 0.7126563340425491, 'epoch': 0.01}
{'loss': 1.0686, 'grad_norm': 8.770503997802734, 'learning_rate': 1.9943434343434346e-05, 'num_tokens': 142354.0, 'mean_token_accuracy': 0.3454553931951523, 'epoch': 0.01}
{'loss': 0.9632, 'grad_norm': 12.063010215759277, 'learning_rate': 1.9941414141414143e-05, 'num_tokens': 144809.0, 'mean_token_accuracy': 0.1809895783662796, 'epoch': 0.01}
{'loss': 0.8685, 'grad_norm': 6.015441417694092, 'learning_rate': 1.993939393939394e-05, 'num_tokens': 149171.0, 'mean_token_accuracy': 0.5670074969530106, 'epoch': 0.01}
{'loss': 0.6782, 'grad_norm': 5.478006839752197, 'learning_rate': 1.993737373737374e-05, 'num_tokens': 154292.0, 'mean_token_accuracy': 0.2073684185743332, 'epoch': 0.01}
{'loss': 1.4052, 'grad_norm': 20.765304565429688, 'learning_rate': 1.9935353535353537e-05, 'num_tokens': 158774.0, 'mean_token_accuracy': 0.3225175440311432, 'epoch': 0.01}
{'loss': 0.7242, 'grad_norm': 8.76080322265625, 'learning_rate': 1.9933333333333334e-05, 'num_tokens': 165771.0, 'mean_token_accuracy': 0.19801463186740875, 'epoch': 0.01}
{'loss': 0.9372, 'grad_norm': 6.15515661239624, 'learning_rate': 1.993131313131313e-05, 'num_tokens': 170085.0, 'mean_token_accuracy': 0.37702319025993347, 'epoch': 0.01}
{'loss': 0.8326, 'grad_norm': 14.292234420776367, 'learning_rate': 1.9929292929292932e-05, 'num_tokens': 172477.0, 'mean_token_accuracy': 0.5814260840415955, 'epoch': 0.01}
{'loss': 0.73, 'grad_norm': 6.374661445617676, 'learning_rate': 1.992727272727273e-05, 'num_tokens': 177191.0, 'mean_token_accuracy': 0.4136612117290497, 'epoch': 0.02}
{'loss': 0.7003, 'grad_norm': 7.607658863067627, 'learning_rate': 1.9925252525252526e-05, 'num_tokens': 181366.0, 'mean_token_accuracy': 0.6041159182786942, 'epoch': 0.02}
{'loss': 0.7671, 'grad_norm': 13.221112251281738, 'learning_rate': 1.9923232323232323e-05, 'num_tokens': 188687.0, 'mean_token_accuracy': 0.4082467555999756, 'epoch': 0.02}
{'loss': 0.6024, 'grad_norm': 8.679102897644043, 'learning_rate': 1.9921212121212123e-05, 'num_tokens': 192714.0, 'mean_token_accuracy': 0.20749613642692566, 'epoch': 0.02}
{'loss': 0.7413, 'grad_norm': 10.689949035644531, 'learning_rate': 1.991919191919192e-05, 'num_tokens': 196091.0, 'mean_token_accuracy': 0.4027041047811508, 'epoch': 0.02}
{'loss': 0.7357, 'grad_norm': 6.501891136169434, 'learning_rate': 1.991717171717172e-05, 'num_tokens': 201318.0, 'mean_token_accuracy': 0.6023852676153183, 'epoch': 0.02}
{'loss': 0.6866, 'grad_norm': 6.167915344238281, 'learning_rate': 1.9915151515151515e-05, 'num_tokens': 205538.0, 'mean_token_accuracy': 0.8227623403072357, 'epoch': 0.02}
{'loss': 0.5388, 'grad_norm': 5.799594879150391, 'learning_rate': 1.9913131313131315e-05, 'num_tokens': 208697.0, 'mean_token_accuracy': 0.6565942615270615, 'epoch': 0.02}
{'loss': 0.6944, 'grad_norm': 4.008962631225586, 'learning_rate': 1.9911111111111112e-05, 'num_tokens': 213454.0, 'mean_token_accuracy': 0.6126189082860947, 'epoch': 0.02}
{'loss': 0.5986, 'grad_norm': 5.692579746246338, 'learning_rate': 1.9909090909090913e-05, 'num_tokens': 223283.0, 'mean_token_accuracy': 0.8692837804555893, 'epoch': 0.02}
{'loss': 0.6529, 'grad_norm': 7.187047481536865, 'learning_rate': 1.990707070707071e-05, 'num_tokens': 229436.0, 'mean_token_accuracy': 0.20493890345096588, 'epoch': 0.02}
{'loss': 0.7441, 'grad_norm': 10.46492862701416, 'learning_rate': 1.9905050505050507e-05, 'num_tokens': 233764.0, 'mean_token_accuracy': 0.19902320206165314, 'epoch': 0.02}
{'loss': 0.5655, 'grad_norm': 3.951709270477295, 'learning_rate': 1.9903030303030304e-05, 'num_tokens': 239443.0, 'mean_token_accuracy': 0.643345057964325, 'epoch': 0.02}
{'loss': 0.8866, 'grad_norm': 9.081677436828613, 'learning_rate': 1.9901010101010104e-05, 'num_tokens': 241787.0, 'mean_token_accuracy': 0.19609004259109497, 'epoch': 0.02}
{'loss': 0.5717, 'grad_norm': 4.09202241897583, 'learning_rate': 1.98989898989899e-05, 'num_tokens': 247753.0, 'mean_token_accuracy': 0.8393293917179108, 'epoch': 0.02}
{'loss': 0.6894, 'grad_norm': 4.162708759307861, 'learning_rate': 1.9896969696969698e-05, 'num_tokens': 252800.0, 'mean_token_accuracy': 0.6093316674232483, 'epoch': 0.02}
{'loss': 0.7006, 'grad_norm': 10.321199417114258, 'learning_rate': 1.9894949494949495e-05, 'num_tokens': 257496.0, 'mean_token_accuracy': 0.42626358568668365, 'epoch': 0.02}
{'loss': 0.5659, 'grad_norm': 4.738706111907959, 'learning_rate': 1.9892929292929296e-05, 'num_tokens': 262109.0, 'mean_token_accuracy': 0.42951342463493347, 'epoch': 0.02}
{'loss': 0.4564, 'grad_norm': 7.173135280609131, 'learning_rate': 1.9890909090909093e-05, 'num_tokens': 274102.0, 'mean_token_accuracy': 0.8774997889995575, 'epoch': 0.02}
{'loss': 0.5702, 'grad_norm': 3.362060308456421, 'learning_rate': 1.988888888888889e-05, 'num_tokens': 277953.0, 'mean_token_accuracy': 0.6334190219640732, 'epoch': 0.02}
{'loss': 0.866, 'grad_norm': 7.27485466003418, 'learning_rate': 1.9886868686868687e-05, 'num_tokens': 281775.0, 'mean_token_accuracy': 0.3995320051908493, 'epoch': 0.02}
{'loss': 0.6112, 'grad_norm': 3.7386701107025146, 'learning_rate': 1.9884848484848487e-05, 'num_tokens': 286473.0, 'mean_token_accuracy': 0.8123584687709808, 'epoch': 0.02}
{'loss': 0.7081, 'grad_norm': 4.574578285217285, 'learning_rate': 1.9882828282828284e-05, 'num_tokens': 294084.0, 'mean_token_accuracy': 0.6173798739910126, 'epoch': 0.02}
{'loss': 0.4906, 'grad_norm': 4.437021255493164, 'learning_rate': 1.988080808080808e-05, 'num_tokens': 297201.0, 'mean_token_accuracy': 0.43801993131637573, 'epoch': 0.02}
{'loss': 0.6977, 'grad_norm': 11.994865417480469, 'learning_rate': 1.9878787878787878e-05, 'num_tokens': 302798.0, 'mean_token_accuracy': 0.20197740197181702, 'epoch': 0.03}
{'loss': 0.4034, 'grad_norm': 5.664283275604248, 'learning_rate': 1.987676767676768e-05, 'num_tokens': 307550.0, 'mean_token_accuracy': 0.22802548110485077, 'epoch': 0.03}
{'loss': 0.6, 'grad_norm': 13.599220275878906, 'learning_rate': 1.9874747474747476e-05, 'num_tokens': 312108.0, 'mean_token_accuracy': 0.6541185677051544, 'epoch': 0.03}
{'loss': 0.6702, 'grad_norm': 5.213441848754883, 'learning_rate': 1.9872727272727276e-05, 'num_tokens': 314584.0, 'mean_token_accuracy': 0.1979830116033554, 'epoch': 0.03}
{'loss': 0.5579, 'grad_norm': 11.15965461730957, 'learning_rate': 1.987070707070707e-05, 'num_tokens': 317622.0, 'mean_token_accuracy': 0.428077295422554, 'epoch': 0.03}
{'loss': 0.5312, 'grad_norm': 3.7364439964294434, 'learning_rate': 1.986868686868687e-05, 'num_tokens': 323620.0, 'mean_token_accuracy': 0.42666880786418915, 'epoch': 0.03}
{'loss': 0.5826, 'grad_norm': 5.693850517272949, 'learning_rate': 1.9866666666666667e-05, 'num_tokens': 326640.0, 'mean_token_accuracy': 0.42608870565891266, 'epoch': 0.03}
{'loss': 0.474, 'grad_norm': 3.693464756011963, 'learning_rate': 1.9864646464646468e-05, 'num_tokens': 337815.0, 'mean_token_accuracy': 0.8597252666950226, 'epoch': 0.03}
{'loss': 0.6831, 'grad_norm': 5.243580341339111, 'learning_rate': 1.9862626262626265e-05, 'num_tokens': 340589.0, 'mean_token_accuracy': 0.41738250851631165, 'epoch': 0.03}
{'loss': 0.5904, 'grad_norm': 4.314674377441406, 'learning_rate': 1.9860606060606062e-05, 'num_tokens': 343597.0, 'mean_token_accuracy': 0.41486142575740814, 'epoch': 0.03}
{'loss': 0.6944, 'grad_norm': 7.614778995513916, 'learning_rate': 1.985858585858586e-05, 'num_tokens': 346906.0, 'mean_token_accuracy': 0.20761078596115112, 'epoch': 0.03}
{'loss': 0.6904, 'grad_norm': 6.024132251739502, 'learning_rate': 1.985656565656566e-05, 'num_tokens': 350982.0, 'mean_token_accuracy': 0.20727400481700897, 'epoch': 0.03}
{'loss': 0.4406, 'grad_norm': 6.951537609100342, 'learning_rate': 1.9854545454545456e-05, 'num_tokens': 359879.0, 'mean_token_accuracy': 0.44117575883865356, 'epoch': 0.03}
{'loss': 0.8502, 'grad_norm': 4.070215225219727, 'learning_rate': 1.9852525252525253e-05, 'num_tokens': 365815.0, 'mean_token_accuracy': 0.612249955534935, 'epoch': 0.03}
{'loss': 0.5867, 'grad_norm': 6.652332782745361, 'learning_rate': 1.985050505050505e-05, 'num_tokens': 369548.0, 'mean_token_accuracy': 0.42196691036224365, 'epoch': 0.03}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.984848484848485e-05, 'num_tokens': 372911.0, 'mean_token_accuracy': 0.0, 'epoch': 0.03}
{'loss': 0.743, 'grad_norm': 5.416351318359375, 'learning_rate': 1.9846464646464648e-05, 'num_tokens': 376972.0, 'mean_token_accuracy': 0.40744464099407196, 'epoch': 0.03}
{'loss': 0.5363, 'grad_norm': 4.429570198059082, 'learning_rate': 1.9844444444444445e-05, 'num_tokens': 381917.0, 'mean_token_accuracy': 0.4231223613023758, 'epoch': 0.03}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.9842424242424242e-05, 'num_tokens': 385173.0, 'mean_token_accuracy': 0.0, 'epoch': 0.03}
{'loss': 0.8824, 'grad_norm': 5.413642406463623, 'learning_rate': 1.9840404040404042e-05, 'num_tokens': 387983.0, 'mean_token_accuracy': 0.19204390048980713, 'epoch': 0.03}
{'loss': 0.7239, 'grad_norm': 6.177381992340088, 'learning_rate': 1.983838383838384e-05, 'num_tokens': 391165.0, 'mean_token_accuracy': 0.19956140220165253, 'epoch': 0.03}
{'loss': 0.5666, 'grad_norm': 2.7122914791107178, 'learning_rate': 1.9836363636363636e-05, 'num_tokens': 396373.0, 'mean_token_accuracy': 0.41911835968494415, 'epoch': 0.03}
{'loss': 0.7157, 'grad_norm': 10.337708473205566, 'learning_rate': 1.9834343434343434e-05, 'num_tokens': 402736.0, 'mean_token_accuracy': 0.4148279279470444, 'epoch': 0.03}
{'loss': 0.8066, 'grad_norm': 4.030747413635254, 'learning_rate': 1.9832323232323234e-05, 'num_tokens': 407070.0, 'mean_token_accuracy': 0.3988425135612488, 'epoch': 0.03}
{'loss': 0.3876, 'grad_norm': 10.562708854675293, 'learning_rate': 1.983030303030303e-05, 'num_tokens': 410465.0, 'mean_token_accuracy': 0.22522935271263123, 'epoch': 0.03}
{'loss': 0.6158, 'grad_norm': 3.097694158554077, 'learning_rate': 1.982828282828283e-05, 'num_tokens': 413778.0, 'mean_token_accuracy': 0.838489830493927, 'epoch': 0.04}
{'loss': 0.7753, 'grad_norm': 3.9795584678649902, 'learning_rate': 1.982626262626263e-05, 'num_tokens': 418362.0, 'mean_token_accuracy': 0.4131876677274704, 'epoch': 0.04}
{'loss': 0.9859, 'grad_norm': 6.586633682250977, 'learning_rate': 1.9824242424242426e-05, 'num_tokens': 423287.0, 'mean_token_accuracy': 0.3956301212310791, 'epoch': 0.04}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.9822222222222226e-05, 'num_tokens': 426280.0, 'mean_token_accuracy': 0.0, 'epoch': 0.04}
{'loss': 0.4249, 'grad_norm': 4.861355781555176, 'learning_rate': 1.9820202020202023e-05, 'num_tokens': 430178.0, 'mean_token_accuracy': 0.2257118970155716, 'epoch': 0.04}
{'loss': 0.9318, 'grad_norm': 3.5497195720672607, 'learning_rate': 1.981818181818182e-05, 'num_tokens': 433774.0, 'mean_token_accuracy': 0.38274085521698, 'epoch': 0.04}
{'loss': 0.5196, 'grad_norm': 3.716355562210083, 'learning_rate': 1.9816161616161617e-05, 'num_tokens': 437615.0, 'mean_token_accuracy': 0.6484972089529037, 'epoch': 0.04}
{'loss': 0.6177, 'grad_norm': 4.031716823577881, 'learning_rate': 1.9814141414141417e-05, 'num_tokens': 441107.0, 'mean_token_accuracy': 0.4123501777648926, 'epoch': 0.04}
{'loss': 0.4201, 'grad_norm': 7.92817497253418, 'learning_rate': 1.9812121212121215e-05, 'num_tokens': 445358.0, 'mean_token_accuracy': 0.43969686329364777, 'epoch': 0.04}
{'loss': 0.6705, 'grad_norm': 5.9121246337890625, 'learning_rate': 1.981010101010101e-05, 'num_tokens': 452221.0, 'mean_token_accuracy': 0.6198623180389404, 'epoch': 0.04}
{'loss': 0.7346, 'grad_norm': 4.288598537445068, 'learning_rate': 1.980808080808081e-05, 'num_tokens': 458481.0, 'mean_token_accuracy': 0.3946812003850937, 'epoch': 0.04}
{'loss': 0.4522, 'grad_norm': 5.808439254760742, 'learning_rate': 1.980606060606061e-05, 'num_tokens': 465741.0, 'mean_token_accuracy': 0.22158469259738922, 'epoch': 0.04}
{'loss': 0.5247, 'grad_norm': 3.4784648418426514, 'learning_rate': 1.9804040404040406e-05, 'epoch': 0.04}
                                                                                                                                                                                                                                                     
{'eval_loss': nan, 'eval_runtime': 5.3772, 'eval_samples_per_second': 18.597, 'eval_steps_per_second': 18.597, 'eval_num_tokens': 471398.0, 'eval_mean_token_accuracy': 0.36721697092056277, 'epoch': 0.04}
{'loss': 0.8313, 'grad_norm': 5.005964279174805, 'learning_rate': 1.9802020202020203e-05, 'num_tokens': 476073.0, 'mean_token_accuracy': 0.5271946042776108, 'epoch': 0.04}
{'loss': 0.364, 'grad_norm': 4.421667098999023, 'learning_rate': 1.98e-05, 'num_tokens': 480369.0, 'mean_token_accuracy': 0.451297402381897, 'epoch': 0.04}
{'loss': 0.4248, 'grad_norm': 3.6293628215789795, 'learning_rate': 1.97979797979798e-05, 'num_tokens': 487970.0, 'mean_token_accuracy': 0.440621480345726, 'epoch': 0.04}
{'loss': 0.5695, 'grad_norm': 4.614187717437744, 'learning_rate': 1.9795959595959598e-05, 'num_tokens': 490966.0, 'mean_token_accuracy': 0.20577211678028107, 'epoch': 0.04}
{'loss': 0.5412, 'grad_norm': 5.121943473815918, 'learning_rate': 1.9793939393939398e-05, 'num_tokens': 494760.0, 'mean_token_accuracy': 0.6429865062236786, 'epoch': 0.04}
{'loss': 0.855, 'grad_norm': 5.592458724975586, 'learning_rate': 1.9791919191919192e-05, 'num_tokens': 499004.0, 'mean_token_accuracy': 0.3926110416650772, 'epoch': 0.04}
{'loss': 0.7082, 'grad_norm': 3.2769370079040527, 'learning_rate': 1.9789898989898992e-05, 'num_tokens': 504625.0, 'mean_token_accuracy': 0.5994841605424881, 'epoch': 0.04}
{'loss': 0.5306, 'grad_norm': 3.2692625522613525, 'learning_rate': 1.978787878787879e-05, 'num_tokens': 507374.0, 'mean_token_accuracy': 0.6558617502450943, 'epoch': 0.04}
{'loss': 0.7465, 'grad_norm': 3.2139925956726074, 'learning_rate': 1.978585858585859e-05, 'num_tokens': 512151.0, 'mean_token_accuracy': 0.5882855951786041, 'epoch': 0.04}
{'loss': 0.537, 'grad_norm': 8.905623435974121, 'learning_rate': 1.9783838383838387e-05, 'num_tokens': 514871.0, 'mean_token_accuracy': 0.2220052033662796, 'epoch': 0.04}
{'loss': 0.4973, 'grad_norm': 3.1564972400665283, 'learning_rate': 1.9781818181818184e-05, 'num_tokens': 519528.0, 'mean_token_accuracy': 0.44361527264118195, 'epoch': 0.04}
{'loss': 0.8676, 'grad_norm': 5.26845121383667, 'learning_rate': 1.977979797979798e-05, 'num_tokens': 524363.0, 'mean_token_accuracy': 0.39502663910388947, 'epoch': 0.04}
{'loss': 0.6442, 'grad_norm': 6.186318397521973, 'learning_rate': 1.977777777777778e-05, 'num_tokens': 526792.0, 'mean_token_accuracy': 0.20248287916183472, 'epoch': 0.05}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.9775757575757578e-05, 'num_tokens': 531137.0, 'mean_token_accuracy': 0.0, 'epoch': 0.05}
{'loss': 0.5581, 'grad_norm': 6.8150434494018555, 'learning_rate': 1.9773737373737375e-05, 'num_tokens': 533715.0, 'mean_token_accuracy': 0.21352140605449677, 'epoch': 0.05}
{'loss': 0.6746, 'grad_norm': 3.8072261810302734, 'learning_rate': 1.9771717171717172e-05, 'num_tokens': 536625.0, 'mean_token_accuracy': 0.4003002345561981, 'epoch': 0.05}
{'loss': 0.7404, 'grad_norm': 4.336946964263916, 'learning_rate': 1.9769696969696973e-05, 'num_tokens': 539611.0, 'mean_token_accuracy': 0.39961741864681244, 'epoch': 0.05}
{'loss': 0.5118, 'grad_norm': 7.689034461975098, 'learning_rate': 1.976767676767677e-05, 'num_tokens': 543719.0, 'mean_token_accuracy': 0.21589486300945282, 'epoch': 0.05}
{'loss': 0.3572, 'grad_norm': 2.84653639793396, 'learning_rate': 1.9765656565656567e-05, 'num_tokens': 547411.0, 'mean_token_accuracy': 0.44803212583065033, 'epoch': 0.05}
{'loss': 0.6119, 'grad_norm': 2.9279751777648926, 'learning_rate': 1.9763636363636364e-05, 'num_tokens': 551472.0, 'mean_token_accuracy': 0.8357728570699692, 'epoch': 0.05}
{'loss': 0.5157, 'grad_norm': 4.57811164855957, 'learning_rate': 1.9761616161616164e-05, 'num_tokens': 555077.0, 'mean_token_accuracy': 0.21179834008216858, 'epoch': 0.05}
{'loss': 0.6058, 'grad_norm': 3.6640164852142334, 'learning_rate': 1.975959595959596e-05, 'num_tokens': 558807.0, 'mean_token_accuracy': 0.407026931643486, 'epoch': 0.05}
{'loss': 0.5935, 'grad_norm': 4.953153610229492, 'learning_rate': 1.975757575757576e-05, 'num_tokens': 569735.0, 'mean_token_accuracy': 0.42208845913410187, 'epoch': 0.05}
{'loss': 0.4513, 'grad_norm': 5.4897780418396, 'learning_rate': 1.9755555555555555e-05, 'num_tokens': 572933.0, 'mean_token_accuracy': 0.224923238158226, 'epoch': 0.05}
{'loss': 0.7001, 'grad_norm': 3.035446882247925, 'learning_rate': 1.9753535353535356e-05, 'num_tokens': 575859.0, 'mean_token_accuracy': 0.402407705783844, 'epoch': 0.05}
{'loss': 0.7058, 'grad_norm': 7.519809722900391, 'learning_rate': 1.9751515151515153e-05, 'num_tokens': 581564.0, 'mean_token_accuracy': 0.20937499403953552, 'epoch': 0.05}
{'loss': 0.6287, 'grad_norm': 5.615353107452393, 'learning_rate': 1.9749494949494953e-05, 'num_tokens': 584901.0, 'mean_token_accuracy': 0.42658567428588867, 'epoch': 0.05}
{'loss': 0.5984, 'grad_norm': 3.486051559448242, 'learning_rate': 1.9747474747474747e-05, 'num_tokens': 588363.0, 'mean_token_accuracy': 0.41212376952171326, 'epoch': 0.05}
{'loss': 0.6195, 'grad_norm': 4.091861248016357, 'learning_rate': 1.9745454545454547e-05, 'num_tokens': 592088.0, 'mean_token_accuracy': 0.4175824224948883, 'epoch': 0.05}
{'loss': 0.5544, 'grad_norm': 4.414981842041016, 'learning_rate': 1.9743434343434344e-05, 'num_tokens': 597987.0, 'mean_token_accuracy': 0.4342578202486038, 'epoch': 0.05}
{'loss': 0.5209, 'grad_norm': 2.918569326400757, 'learning_rate': 1.9741414141414145e-05, 'num_tokens': 607933.0, 'mean_token_accuracy': 0.42124441266059875, 'epoch': 0.05}
{'loss': 0.4573, 'grad_norm': 3.3827779293060303, 'learning_rate': 1.9739393939393942e-05, 'num_tokens': 611064.0, 'mean_token_accuracy': 0.6619209796190262, 'epoch': 0.05}
{'loss': 0.789, 'grad_norm': 4.082212448120117, 'learning_rate': 1.973737373737374e-05, 'num_tokens': 615916.0, 'mean_token_accuracy': 0.20425257086753845, 'epoch': 0.05}
{'loss': 0.7923, 'grad_norm': 4.936734676361084, 'learning_rate': 1.9735353535353536e-05, 'num_tokens': 619006.0, 'mean_token_accuracy': 0.19527098536491394, 'epoch': 0.05}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.9733333333333336e-05, 'num_tokens': 621562.0, 'mean_token_accuracy': 0.0, 'epoch': 0.05}
{'loss': 0.8979, 'grad_norm': 5.879188537597656, 'learning_rate': 1.9731313131313133e-05, 'num_tokens': 625082.0, 'mean_token_accuracy': 0.18786734342575073, 'epoch': 0.05}
{'loss': 0.1476, 'grad_norm': 3.1128416061401367, 'learning_rate': 1.972929292929293e-05, 'num_tokens': 633242.0, 'mean_token_accuracy': 0.24004653096199036, 'epoch': 0.05}
{'loss': 0.3692, 'grad_norm': 5.26356315612793, 'learning_rate': 1.9727272727272728e-05, 'num_tokens': 636589.0, 'mean_token_accuracy': 0.2284560203552246, 'epoch': 0.06}
{'loss': 0.5674, 'grad_norm': 8.29732894897461, 'learning_rate': 1.9725252525252528e-05, 'num_tokens': 640542.0, 'mean_token_accuracy': 0.21597221493721008, 'epoch': 0.06}
{'loss': 1.1653, 'grad_norm': 7.79201078414917, 'learning_rate': 1.9723232323232325e-05, 'num_tokens': 650696.0, 'mean_token_accuracy': 0.17566873133182526, 'epoch': 0.06}
{'loss': 0.4515, 'grad_norm': 4.823088645935059, 'learning_rate': 1.9721212121212122e-05, 'num_tokens': 654443.0, 'mean_token_accuracy': 0.22037793695926666, 'epoch': 0.06}
{'loss': 0.7032, 'grad_norm': 6.658384799957275, 'learning_rate': 1.971919191919192e-05, 'num_tokens': 657430.0, 'mean_token_accuracy': 0.21022726595401764, 'epoch': 0.06}
{'loss': 0.5441, 'grad_norm': 7.939115524291992, 'learning_rate': 1.971717171717172e-05, 'num_tokens': 660297.0, 'mean_token_accuracy': 0.20940819382667542, 'epoch': 0.06}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.9715151515151517e-05, 'num_tokens': 663173.0, 'mean_token_accuracy': 0.0, 'epoch': 0.06}
