                                                                                                                                                                                                                                      
{'loss': 1.4181, 'grad_norm': inf, 'learning_rate': 2e-05, 'num_tokens': 5142.0, 'mean_token_accuracy': 0.6873541623353958, 'epoch': 0.0}
{'loss': 1.0555, 'grad_norm': 6.297311305999756, 'learning_rate': 1.9097472924187726e-05, 'num_tokens': 148942.0, 'mean_token_accuracy': 0.7215944677591324, 'epoch': 0.05}
{'loss': 0.8566, 'grad_norm': 6.3658881187438965, 'learning_rate': 1.9061371841155237e-05, 'num_tokens': 152728.0, 'mean_token_accuracy': 0.7325297296047211, 'epoch': 0.05}
{'loss': 0.8348, 'grad_norm': 6.746110916137695, 'learning_rate': 1.9025270758122745e-05, 'num_tokens': 158883.0, 'mean_token_accuracy': 0.7713513672351837, 'epoch': 0.05}
{'loss': 0.7455, 'grad_norm': 6.346428871154785, 'learning_rate': 1.8989169675090253e-05, 'num_tokens': 164461.0, 'mean_token_accuracy': 0.7618256360292435, 'epoch': 0.05}
{'loss': 0.7785, 'grad_norm': 4.954589366912842, 'learning_rate': 1.8953068592057764e-05, 'num_tokens': 169139.0, 'mean_token_accuracy': 0.7957143038511276, 'epoch': 0.06}
{'loss': 0.5776, 'grad_norm': 4.339731693267822, 'learning_rate': 1.891696750902527e-05, 'num_tokens': 173612.0, 'mean_token_accuracy': 0.7941266596317291, 'epoch': 0.06}
{'loss': 0.9536, 'grad_norm': 5.805670738220215, 'learning_rate': 1.8880866425992782e-05, 'num_tokens': 180034.0, 'mean_token_accuracy': 0.7262452691793442, 'epoch': 0.06}
{'loss': 0.9247, 'grad_norm': 5.1874237060546875, 'learning_rate': 1.884476534296029e-05, 'num_tokens': 185295.0, 'mean_token_accuracy': 0.7463435679674149, 'epoch': 0.06}
{'loss': 0.5346, 'grad_norm': 5.526242733001709, 'learning_rate': 1.88086642599278e-05, 'num_tokens': 189480.0, 'mean_token_accuracy': 0.8189093470573425, 'epoch': 0.06}
{'loss': 0.7685, 'grad_norm': 5.51882266998291, 'learning_rate': 1.877256317689531e-05, 'num_tokens': 195082.0, 'mean_token_accuracy': 0.7980939149856567, 'epoch': 0.06}
{'loss': 0.8983, 'grad_norm': 5.146223068237305, 'learning_rate': 1.8736462093862816e-05, 'num_tokens': 200225.0, 'mean_token_accuracy': 0.730904832482338, 'epoch': 0.07}
{'loss': 0.8436, 'grad_norm': 5.4313459396362305, 'learning_rate': 1.8700361010830327e-05, 'num_tokens': 205799.0, 'mean_token_accuracy': 0.7788992822170258, 'epoch': 0.07}
{'loss': 0.6795, 'grad_norm': 6.814037799835205, 'learning_rate': 1.8664259927797835e-05, 'num_tokens': 209845.0, 'mean_token_accuracy': 0.8056075572967529, 'epoch': 0.07}
{'loss': 1.0905, 'grad_norm': 5.684300899505615, 'learning_rate': 1.8628158844765346e-05, 'num_tokens': 216677.0, 'mean_token_accuracy': 0.7000381648540497, 'epoch': 0.07}
{'loss': 0.7132, 'grad_norm': 6.3134446144104, 'learning_rate': 1.8592057761732854e-05, 'num_tokens': 222059.0, 'mean_token_accuracy': 0.7587408274412155, 'epoch': 0.07}
{'loss': 0.8382, 'grad_norm': 6.745933532714844, 'learning_rate': 1.855595667870036e-05, 'num_tokens': 228378.0, 'mean_token_accuracy': 0.7519833743572235, 'epoch': 0.08}
{'loss': 1.0229, 'grad_norm': 5.897769451141357, 'learning_rate': 1.851985559566787e-05, 'num_tokens': 234557.0, 'mean_token_accuracy': 0.7446188777685165, 'epoch': 0.08}
{'loss': 1.1017, 'grad_norm': 6.261528491973877, 'learning_rate': 1.848375451263538e-05, 'num_tokens': 238800.0, 'mean_token_accuracy': 0.7207674086093903, 'epoch': 0.08}
{'loss': 0.8246, 'grad_norm': 5.655451774597168, 'learning_rate': 1.844765342960289e-05, 'num_tokens': 243323.0, 'mean_token_accuracy': 0.7488895207643509, 'epoch': 0.08}
{'loss': 0.5643, 'grad_norm': 6.332710266113281, 'learning_rate': 1.84115523465704e-05, 'num_tokens': 247301.0, 'mean_token_accuracy': 0.8339282125234604, 'epoch': 0.08}
{'loss': 0.6092, 'grad_norm': 4.922667026519775, 'learning_rate': 1.8375451263537906e-05, 'num_tokens': 251294.0, 'mean_token_accuracy': 0.8347171097993851, 'epoch': 0.08}
{'loss': 0.9144, 'grad_norm': 6.51658296585083, 'learning_rate': 1.8339350180505417e-05, 'num_tokens': 256929.0, 'mean_token_accuracy': 0.7567604929208755, 'epoch': 0.09}
{'loss': 0.5059, 'grad_norm': 5.00372838973999, 'learning_rate': 1.8303249097472925e-05, 'num_tokens': 262005.0, 'mean_token_accuracy': 0.803437352180481, 'epoch': 0.09}
{'loss': 0.7166, 'grad_norm': 6.199475288391113, 'learning_rate': 1.8267148014440436e-05, 'num_tokens': 267310.0, 'mean_token_accuracy': 0.8180567473173141, 'epoch': 0.09}
{'loss': 1.1778, 'grad_norm': 5.796881675720215, 'learning_rate': 1.8231046931407943e-05, 'num_tokens': 273122.0, 'mean_token_accuracy': 0.6926606744527817, 'epoch': 0.09}
{'loss': 0.6492, 'grad_norm': 5.2840070724487305, 'learning_rate': 1.8194945848375454e-05, 'num_tokens': 277221.0, 'mean_token_accuracy': 0.8114904463291168, 'epoch': 0.09}
{'loss': 0.985, 'grad_norm': 6.4584879875183105, 'learning_rate': 1.8158844765342962e-05, 'num_tokens': 286084.0, 'mean_token_accuracy': 0.712167426943779, 'epoch': 0.1}
{'loss': 0.7506, 'grad_norm': 5.822832107543945, 'learning_rate': 1.812274368231047e-05, 'num_tokens': 291956.0, 'mean_token_accuracy': 0.7632259428501129, 'epoch': 0.1}
{'loss': 0.8277, 'grad_norm': 5.202885627746582, 'learning_rate': 1.808664259927798e-05, 'num_tokens': 298486.0, 'mean_token_accuracy': 0.7436148673295975, 'epoch': 0.1}
{'loss': 0.6988, 'grad_norm': 4.906971454620361, 'learning_rate': 1.805054151624549e-05, 'num_tokens': 303284.0, 'mean_token_accuracy': 0.8215771466493607, 'epoch': 0.1}
{'loss': 0.8974, 'grad_norm': 6.692996978759766, 'learning_rate': 1.8014440433213e-05, 'num_tokens': 308325.0, 'mean_token_accuracy': 0.747944638133049, 'epoch': 0.1}
{'loss': 1.0052, 'grad_norm': 6.085290431976318, 'learning_rate': 1.7978339350180507e-05, 'num_tokens': 313234.0, 'mean_token_accuracy': 0.7188165783882141, 'epoch': 0.1}
{'loss': 0.7802, 'grad_norm': 5.19041109085083, 'learning_rate': 1.7942238267148015e-05, 'num_tokens': 320722.0, 'mean_token_accuracy': 0.7679106891155243, 'epoch': 0.11}
{'loss': 0.6781, 'grad_norm': 5.937356472015381, 'learning_rate': 1.7906137184115526e-05, 'num_tokens': 324627.0, 'mean_token_accuracy': 0.8266766667366028, 'epoch': 0.11}
{'loss': 1.0336, 'grad_norm': 6.164499282836914, 'learning_rate': 1.7870036101083033e-05, 'num_tokens': 329519.0, 'mean_token_accuracy': 0.7081523686647415, 'epoch': 0.11}
{'loss': 0.6782, 'grad_norm': 5.8034162521362305, 'learning_rate': 1.7833935018050544e-05, 'num_tokens': 334551.0, 'mean_token_accuracy': 0.768086701631546, 'epoch': 0.11}
{'loss': 0.706, 'grad_norm': 6.230854034423828, 'learning_rate': 1.7797833935018052e-05, 'num_tokens': 339475.0, 'mean_token_accuracy': 0.7811350226402283, 'epoch': 0.11}
{'loss': 0.9071, 'grad_norm': 6.078201770782471, 'learning_rate': 1.776173285198556e-05, 'num_tokens': 345583.0, 'mean_token_accuracy': 0.7488151639699936, 'epoch': 0.12}
{'loss': 0.7738, 'grad_norm': 5.697237491607666, 'learning_rate': 1.772563176895307e-05, 'num_tokens': 350025.0, 'mean_token_accuracy': 0.7889609485864639, 'epoch': 0.12}
{'loss': 0.9813, 'grad_norm': 6.074865341186523, 'learning_rate': 1.768953068592058e-05, 'num_tokens': 354979.0, 'mean_token_accuracy': 0.745134174823761, 'epoch': 0.12}
{'loss': 0.7665, 'grad_norm': 6.728808879852295, 'learning_rate': 1.765342960288809e-05, 'num_tokens': 360350.0, 'mean_token_accuracy': 0.8068270981311798, 'epoch': 0.12}
{'loss': 0.7442, 'grad_norm': 6.461817741394043, 'learning_rate': 1.7617328519855597e-05, 'num_tokens': 364706.0, 'mean_token_accuracy': 0.7868117988109589, 'epoch': 0.12}
{'loss': 1.4786, 'grad_norm': 5.99144983291626, 'learning_rate': 1.7581227436823105e-05, 'num_tokens': 370611.0, 'mean_token_accuracy': 0.6229350566864014, 'epoch': 0.12}
{'loss': 0.5519, 'grad_norm': 4.571208953857422, 'learning_rate': 1.7545126353790616e-05, 'num_tokens': 375772.0, 'mean_token_accuracy': 0.7949592918157578, 'epoch': 0.13}
{'loss': 0.5334, 'grad_norm': 5.631433486938477, 'learning_rate': 1.7509025270758123e-05, 'num_tokens': 379532.0, 'mean_token_accuracy': 0.8114924132823944, 'epoch': 0.13}
{'loss': 0.6834, 'grad_norm': 5.261939525604248, 'learning_rate': 1.7472924187725634e-05, 'num_tokens': 385897.0, 'mean_token_accuracy': 0.8091955482959747, 'epoch': 0.13}
{'loss': 0.8366, 'grad_norm': 5.528972148895264, 'learning_rate': 1.7436823104693142e-05, 'num_tokens': 393134.0, 'mean_token_accuracy': 0.7586042433977127, 'epoch': 0.13}
{'loss': 1.0286, 'grad_norm': 5.190325736999512, 'learning_rate': 1.7400722021660653e-05, 'num_tokens': 399624.0, 'mean_token_accuracy': 0.7285617738962173, 'epoch': 0.13}
{'loss': 0.815, 'grad_norm': 5.1669206619262695, 'learning_rate': 1.736462093862816e-05, 'num_tokens': 405448.0, 'mean_token_accuracy': 0.7713434994220734, 'epoch': 0.14}
{'loss': 0.8577, 'grad_norm': 6.00244140625, 'learning_rate': 1.7328519855595668e-05, 'num_tokens': 410549.0, 'mean_token_accuracy': 0.7411922812461853, 'epoch': 0.14}
{'loss': 0.7149, 'grad_norm': 5.627871036529541, 'learning_rate': 1.729241877256318e-05, 'num_tokens': 415129.0, 'mean_token_accuracy': 0.7633553147315979, 'epoch': 0.14}
{'loss': 1.1513, 'grad_norm': 5.822964191436768, 'learning_rate': 1.7256317689530687e-05, 'num_tokens': 420254.0, 'mean_token_accuracy': 0.6865592449903488, 'epoch': 0.14}
{'loss': 0.7761, 'grad_norm': 5.88377571105957, 'learning_rate': 1.7220216606498198e-05, 'num_tokens': 427058.0, 'mean_token_accuracy': 0.7793431133031845, 'epoch': 0.14}
{'loss': 0.5513, 'grad_norm': 10.405797958374023, 'learning_rate': 1.7184115523465706e-05, 'num_tokens': 432788.0, 'mean_token_accuracy': 0.8251249939203262, 'epoch': 0.14}
{'loss': 1.1807, 'grad_norm': 5.876420974731445, 'learning_rate': 1.7148014440433213e-05, 'num_tokens': 438674.0, 'mean_token_accuracy': 0.6926232129335403, 'epoch': 0.15}
{'loss': 0.8257, 'grad_norm': 5.394221305847168, 'learning_rate': 1.711191335740072e-05, 'num_tokens': 444846.0, 'mean_token_accuracy': 0.7575541585683823, 'epoch': 0.15}
{'loss': 0.9936, 'grad_norm': 7.112941741943359, 'learning_rate': 1.7075812274368232e-05, 'num_tokens': 450300.0, 'mean_token_accuracy': 0.7185585349798203, 'epoch': 0.15}
{'loss': 0.4456, 'grad_norm': 4.684978008270264, 'learning_rate': 1.7039711191335743e-05, 'num_tokens': 455667.0, 'mean_token_accuracy': 0.8375071436166763, 'epoch': 0.15}
{'loss': 0.8753, 'grad_norm': 6.585008144378662, 'learning_rate': 1.700361010830325e-05, 'num_tokens': 460505.0, 'mean_token_accuracy': 0.7464437782764435, 'epoch': 0.15}
{'loss': 1.2473, 'grad_norm': 14.13843059539795, 'learning_rate': 1.6967509025270758e-05, 'num_tokens': 467722.0, 'mean_token_accuracy': 0.6800958663225174, 'epoch': 0.16}
{'loss': 1.1191, 'grad_norm': 7.300934791564941, 'learning_rate': 1.693140794223827e-05, 'num_tokens': 472144.0, 'mean_token_accuracy': 0.6920792311429977, 'epoch': 0.16}
{'loss': 1.1702, 'grad_norm': 5.579275608062744, 'learning_rate': 1.6895306859205777e-05, 'num_tokens': 479781.0, 'mean_token_accuracy': 0.6844208240509033, 'epoch': 0.16}
{'loss': 0.8809, 'grad_norm': 4.895438194274902, 'learning_rate': 1.6859205776173288e-05, 'num_tokens': 485091.0, 'mean_token_accuracy': 0.7442104518413544, 'epoch': 0.16}
{'loss': 0.884, 'grad_norm': 5.806397914886475, 'learning_rate': 1.6823104693140795e-05, 'num_tokens': 489756.0, 'mean_token_accuracy': 0.7649984806776047, 'epoch': 0.16}
{'loss': 0.7283, 'grad_norm': 5.57843017578125, 'learning_rate': 1.6787003610108306e-05, 'num_tokens': 494267.0, 'mean_token_accuracy': 0.7662750408053398, 'epoch': 0.16}
{'loss': 0.8982, 'grad_norm': 7.207306861877441, 'learning_rate': 1.6750902527075814e-05, 'num_tokens': 497328.0, 'mean_token_accuracy': 0.7478010356426239, 'epoch': 0.17}
{'loss': 0.6601, 'grad_norm': 7.521767616271973, 'learning_rate': 1.6714801444043322e-05, 'num_tokens': 501827.0, 'mean_token_accuracy': 0.7835995256900787, 'epoch': 0.17}
{'loss': 0.8365, 'grad_norm': 5.066980838775635, 'learning_rate': 1.6678700361010833e-05, 'num_tokens': 506955.0, 'mean_token_accuracy': 0.77202507853508, 'epoch': 0.17}
{'loss': 0.7614, 'grad_norm': 5.226904392242432, 'learning_rate': 1.664259927797834e-05, 'num_tokens': 512389.0, 'mean_token_accuracy': 0.7664474695920944, 'epoch': 0.17}
{'loss': 0.8819, 'grad_norm': 4.94218111038208, 'learning_rate': 1.660649819494585e-05, 'num_tokens': 520147.0, 'mean_token_accuracy': 0.7425217032432556, 'epoch': 0.17}
{'loss': 0.6849, 'grad_norm': 5.919640064239502, 'learning_rate': 1.657039711191336e-05, 'num_tokens': 524366.0, 'mean_token_accuracy': 0.7955342531204224, 'epoch': 0.17}
{'loss': 0.4824, 'grad_norm': 5.727361679077148, 'learning_rate': 1.6534296028880867e-05, 'num_tokens': 527942.0, 'mean_token_accuracy': 0.8462020307779312, 'epoch': 0.18}
{'loss': 0.8754, 'grad_norm': 5.036108016967773, 'learning_rate': 1.6498194945848374e-05, 'num_tokens': 532848.0, 'mean_token_accuracy': 0.7667120397090912, 'epoch': 0.18}
{'loss': 0.9832, 'grad_norm': 5.39268159866333, 'learning_rate': 1.6462093862815885e-05, 'num_tokens': 539631.0, 'mean_token_accuracy': 0.7288012504577637, 'epoch': 0.18}
{'loss': 0.8569, 'grad_norm': 5.85310173034668, 'learning_rate': 1.6425992779783396e-05, 'num_tokens': 544350.0, 'mean_token_accuracy': 0.7782035320997238, 'epoch': 0.18}
{'loss': 0.5714, 'grad_norm': 4.9698896408081055, 'learning_rate': 1.6389891696750904e-05, 'num_tokens': 548568.0, 'mean_token_accuracy': 0.8282888382673264, 'epoch': 0.18}
{'loss': 0.9742, 'grad_norm': 6.747607231140137, 'learning_rate': 1.635379061371841e-05, 'num_tokens': 555010.0, 'mean_token_accuracy': 0.7620764076709747, 'epoch': 0.19}
{'loss': 0.7596, 'grad_norm': 4.517651081085205, 'learning_rate': 1.6317689530685923e-05, 'num_tokens': 560580.0, 'mean_token_accuracy': 0.7778378278017044, 'epoch': 0.19}
{'loss': 1.2939, 'grad_norm': 6.365243434906006, 'learning_rate': 1.628158844765343e-05, 'num_tokens': 568759.0, 'mean_token_accuracy': 0.6738940179347992, 'epoch': 0.19}
{'loss': 1.2373, 'grad_norm': 5.291691303253174, 'learning_rate': 1.624548736462094e-05, 'num_tokens': 574034.0, 'mean_token_accuracy': 0.7000335454940796, 'epoch': 0.19}
{'loss': 0.8248, 'grad_norm': 6.089756488800049, 'learning_rate': 1.620938628158845e-05, 'num_tokens': 577888.0, 'mean_token_accuracy': 0.7810876816511154, 'epoch': 0.19}
{'loss': 0.8053, 'grad_norm': 6.045737266540527, 'learning_rate': 1.6173285198555957e-05, 'num_tokens': 582167.0, 'mean_token_accuracy': 0.7767384648323059, 'epoch': 0.19}
{'loss': 1.0641, 'grad_norm': 6.07609224319458, 'learning_rate': 1.6137184115523468e-05, 'num_tokens': 586637.0, 'mean_token_accuracy': 0.6857220232486725, 'epoch': 0.2}
{'loss': 1.1379, 'grad_norm': 5.18590784072876, 'learning_rate': 1.6101083032490975e-05, 'num_tokens': 592673.0, 'mean_token_accuracy': 0.7124095410108566, 'epoch': 0.2}
{'loss': 0.64, 'grad_norm': 4.981199264526367, 'learning_rate': 1.6064981949458486e-05, 'num_tokens': 597065.0, 'mean_token_accuracy': 0.7981107234954834, 'epoch': 0.2}
{'loss': 0.7033, 'grad_norm': 6.577139854431152, 'learning_rate': 1.6028880866425994e-05, 'num_tokens': 603144.0, 'mean_token_accuracy': 0.7839097529649734, 'epoch': 0.2}
{'loss': 0.6173, 'grad_norm': 4.886739253997803, 'learning_rate': 1.5992779783393505e-05, 'num_tokens': 607763.0, 'mean_token_accuracy': 0.8322716653347015, 'epoch': 0.2}
{'loss': 0.9274, 'grad_norm': 4.1219868659973145, 'learning_rate': 1.5956678700361013e-05, 'num_tokens': 614325.0, 'mean_token_accuracy': 0.7138048857450485, 'epoch': 0.21}
{'loss': 0.9463, 'grad_norm': 6.027525424957275, 'learning_rate': 1.592057761732852e-05, 'num_tokens': 621110.0, 'mean_token_accuracy': 0.730628028512001, 'epoch': 0.21}
{'loss': 0.8343, 'grad_norm': 5.962544918060303, 'learning_rate': 1.5884476534296028e-05, 'num_tokens': 625880.0, 'mean_token_accuracy': 0.7664501965045929, 'epoch': 0.21}
{'loss': 0.9151, 'grad_norm': 4.860724925994873, 'learning_rate': 1.584837545126354e-05, 'num_tokens': 630771.0, 'mean_token_accuracy': 0.744216725230217, 'epoch': 0.21}
{'loss': 0.7788, 'grad_norm': 6.380111217498779, 'learning_rate': 1.581227436823105e-05, 'num_tokens': 634435.0, 'mean_token_accuracy': 0.7815203666687012, 'epoch': 0.21}
{'loss': 0.5565, 'grad_norm': 8.609874725341797, 'learning_rate': 1.5776173285198557e-05, 'num_tokens': 639132.0, 'mean_token_accuracy': 0.8240043222904205, 'epoch': 0.21}
{'loss': 0.9137, 'grad_norm': 5.508825778961182, 'learning_rate': 1.5740072202166065e-05, 'num_tokens': 645136.0, 'mean_token_accuracy': 0.7562113404273987, 'epoch': 0.22}
{'loss': 1.0256, 'grad_norm': 5.781822681427002, 'learning_rate': 1.5703971119133573e-05, 'num_tokens': 652126.0, 'mean_token_accuracy': 0.7013920545578003, 'epoch': 0.22}
{'loss': 1.2484, 'grad_norm': 6.033382415771484, 'learning_rate': 1.5667870036101084e-05, 'num_tokens': 658200.0, 'mean_token_accuracy': 0.6661484390497208, 'epoch': 0.22}
{'loss': 0.8599, 'grad_norm': 5.731313228607178, 'learning_rate': 1.5631768953068595e-05, 'num_tokens': 663232.0, 'mean_token_accuracy': 0.7665877640247345, 'epoch': 0.22}
{'loss': 0.6283, 'grad_norm': 5.8142008781433105, 'learning_rate': 1.5595667870036102e-05, 'num_tokens': 668221.0, 'mean_token_accuracy': 0.7998039126396179, 'epoch': 0.22}
{'loss': 0.7156, 'grad_norm': 4.73392391204834, 'learning_rate': 1.555956678700361e-05, 'num_tokens': 675849.0, 'mean_token_accuracy': 0.8087751418352127, 'epoch': 0.23}
{'loss': 1.0165, 'grad_norm': 5.836736679077148, 'learning_rate': 1.552346570397112e-05, 'num_tokens': 681322.0, 'mean_token_accuracy': 0.7027881890535355, 'epoch': 0.23}
{'loss': 0.7444, 'grad_norm': 5.116436958312988, 'learning_rate': 1.548736462093863e-05, 'num_tokens': 686879.0, 'mean_token_accuracy': 0.774736762046814, 'epoch': 0.23}
{'loss': 0.9671, 'grad_norm': 5.991511821746826, 'learning_rate': 1.545126353790614e-05, 'num_tokens': 691763.0, 'mean_token_accuracy': 0.7523660659790039, 'epoch': 0.23}
{'loss': 1.2039, 'grad_norm': 5.580347061157227, 'learning_rate': 1.5415162454873647e-05, 'num_tokens': 697039.0, 'mean_token_accuracy': 0.732142299413681, 'epoch': 0.23}
{'loss': 0.7154, 'grad_norm': 6.2791876792907715, 'learning_rate': 1.537906137184116e-05, 'num_tokens': 702037.0, 'mean_token_accuracy': 0.7905785739421844, 'epoch': 0.23}
{'loss': 0.8774, 'grad_norm': 4.455928802490234, 'learning_rate': 1.5342960288808666e-05, 'num_tokens': 709641.0, 'mean_token_accuracy': 0.7517477869987488, 'epoch': 0.24}
{'loss': 0.9271, 'grad_norm': 5.113935470581055, 'learning_rate': 1.5306859205776174e-05, 'num_tokens': 715172.0, 'mean_token_accuracy': 0.7069029957056046, 'epoch': 0.24}
{'loss': 1.1463, 'grad_norm': 6.021546363830566, 'learning_rate': 1.5270758122743685e-05, 'num_tokens': 720759.0, 'mean_token_accuracy': 0.7128543704748154, 'epoch': 0.24}
{'loss': 0.8354, 'grad_norm': 3.5855281352996826, 'learning_rate': 1.5234657039711192e-05, 'num_tokens': 725934.0, 'mean_token_accuracy': 0.7620074898004532, 'epoch': 0.24}
{'loss': 1.1053, 'grad_norm': 5.910257816314697, 'learning_rate': 1.5198555956678702e-05, 'num_tokens': 731970.0, 'mean_token_accuracy': 0.7227835804224014, 'epoch': 0.24}
{'loss': 0.8098, 'grad_norm': 5.627853870391846, 'learning_rate': 1.5162454873646211e-05, 'num_tokens': 737224.0, 'mean_token_accuracy': 0.7917819023132324, 'epoch': 0.25}
{'loss': 0.9953, 'grad_norm': 8.568676948547363, 'learning_rate': 1.5126353790613719e-05, 'num_tokens': 741089.0, 'mean_token_accuracy': 0.7314345240592957, 'epoch': 0.25}
{'loss': 0.9407, 'grad_norm': 5.486225128173828, 'learning_rate': 1.5090252707581228e-05, 'num_tokens': 745900.0, 'mean_token_accuracy': 0.7486289441585541, 'epoch': 0.25}
{'loss': 0.8644, 'grad_norm': 4.724081039428711, 'learning_rate': 1.5054151624548739e-05, 'epoch': 0.25}
                                                                                                                                                                                                                                      
{'eval_loss': 0.7793880105018616, 'eval_runtime': 14.9348, 'eval_samples_per_second': 16.539, 'eval_steps_per_second': 16.539, 'eval_num_tokens': 753922.0, 'eval_mean_token_accuracy': 0.7749878378049565, 'epoch': 0.25}
{'loss': 0.9125, 'grad_norm': 4.695895195007324, 'learning_rate': 1.5018050541516247e-05, 'num_tokens': 759353.0, 'mean_token_accuracy': 0.7469654157757759, 'epoch': 0.25}
{'loss': 0.634, 'grad_norm': 6.463407516479492, 'learning_rate': 1.4981949458483756e-05, 'num_tokens': 763868.0, 'mean_token_accuracy': 0.7874026149511337, 'epoch': 0.25}
{'loss': 0.6029, 'grad_norm': 4.817221164703369, 'learning_rate': 1.4945848375451264e-05, 'num_tokens': 768730.0, 'mean_token_accuracy': 0.8292862325906754, 'epoch': 0.26}
